##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	mp1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1500000
Sequences flagged as poor quality	0
Sequence length	251
%GC	44
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.36760666666667	33.0	32.0	34.0	32.0	34.0
2	32.729154666666666	33.0	32.0	34.0	32.0	34.0
3	32.83870533333333	33.0	32.0	34.0	32.0	34.0
4	32.857264666666666	33.0	32.0	34.0	32.0	34.0
5	32.38617933333333	33.0	32.0	34.0	32.0	34.0
6	35.004755333333335	37.0	34.0	37.0	32.0	37.0
7	34.97258866666667	37.0	34.0	37.0	32.0	37.0
8	35.042706	37.0	34.0	37.0	32.0	37.0
9	35.098587333333334	37.0	34.0	37.0	32.0	37.0
10-14	35.6326036	37.4	35.4	37.4	32.8	37.4
15-19	36.7742584	38.0	37.8	38.0	35.2	38.0
20-24	37.001463199999996	38.4	38.0	38.4	35.0	38.4
25-29	37.22858453333333	39.0	38.0	39.0	34.8	39.0
30-34	37.278977999999995	39.0	38.0	39.0	35.4	39.0
35-39	37.06429133333334	38.6	37.6	39.0	34.6	39.0
40-44	37.0076272	38.6	37.6	39.0	34.2	39.0
45-49	37.100076666666666	38.8	37.6	39.0	35.0	39.0
50-54	37.18749373333333	39.0	38.0	39.0	35.4	39.0
55-59	37.1768456	39.0	38.0	39.0	35.2	39.0
60-64	37.150771199999994	38.8	37.8	39.0	35.2	39.0
65-69	37.03316253333334	38.8	37.6	39.0	34.8	39.0
70-74	37.0673552	38.8	37.8	39.0	34.8	39.0
75-79	37.0206144	38.8	37.6	39.0	34.6	39.0
80-84	37.08219013333333	39.0	38.0	39.0	35.0	39.0
85-89	37.090620933333334	39.0	38.0	39.0	34.8	39.0
90-94	36.61169146666667	38.6	37.6	39.0	31.0	39.0
95-99	36.88512386666667	38.4	37.2	39.0	33.8	39.0
100-104	36.576064933333335	38.0	37.0	39.0	32.8	39.0
105-109	36.393263733333335	38.0	37.0	39.0	30.0	39.0
110-114	36.739245733333334	38.2	37.0	39.0	33.2	39.0
115-119	36.5610336	38.0	37.0	39.0	33.0	39.0
120-124	36.5570204	38.0	37.0	39.0	33.0	39.0
125-129	35.9964548	38.0	36.8	39.0	29.0	39.0
130-134	36.238960399999996	38.0	37.0	39.0	31.8	39.0
135-139	36.05745333333333	38.0	37.0	39.0	30.4	39.0
140-144	35.96018826666666	38.0	37.0	39.0	29.6	39.0
145-149	35.885588	38.0	37.0	39.0	30.0	39.0
150-154	35.46358733333334	38.0	36.6	39.0	26.0	39.0
155-159	35.34330786666667	38.0	36.4	39.0	27.0	39.0
160-164	35.076740799999996	38.0	35.8	39.0	24.2	39.0
165-169	34.3352916	38.0	34.2	39.0	19.4	39.0
170-174	34.5319	38.0	34.6	39.0	17.6	39.0
175-179	34.2218644	38.0	34.0	39.0	15.6	39.0
180-184	33.840469733333336	38.0	34.0	39.0	15.0	39.0
185-189	33.29643986666666	37.4	33.0	38.4	15.0	39.0
190-194	32.703978533333334	37.0	31.6	38.0	15.0	39.0
195-199	32.439091866666665	37.0	31.4	38.0	15.0	39.0
200-204	31.21468546666667	37.0	25.4	38.0	14.4	39.0
205-209	30.7251936	37.0	23.2	38.0	14.0	38.0
210-214	30.692178266666666	37.0	24.6	37.8	14.0	38.0
215-219	30.209134133333333	36.6	24.0	37.0	14.0	38.0
220-224	29.637308666666666	35.8	19.0	37.0	14.0	38.0
225-229	29.0202276	34.4	15.0	37.0	14.0	38.0
230-234	28.0756812	33.0	15.0	37.0	13.8	37.0
235-239	27.835861466666664	33.0	15.0	37.0	13.8	37.0
240-244	27.44728333333334	32.8	14.6	37.0	13.4	37.0
245-249	26.877134533333333	32.0	14.0	37.0	13.0	37.0
250-251	23.806672	23.5	14.0	32.0	13.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.006010117494653855
1101	2	0.16810276611270325
1101	3	0.17157176363307514
1101	4	0.10765512024590151
1101	5	0.40542176609255876
1101	6	0.3075062703616567
1101	7	0.46220687969785246
1101	8	0.323556380209439
1101	9	0.2621782972965363
1101	10-14	0.4017504628200754
1101	15-19	0.25054269277310937
1101	20-24	0.2413507240195969
1101	25-29	0.25492530853979645
1101	30-34	0.23290221571205194
1101	35-39	0.5162210170250816
1101	40-44	0.568393397428018
1101	45-49	0.36450255808241394
1101	50-54	0.2384502572113334
1101	55-59	0.3200235610278952
1101	60-64	0.2502532192486271
1101	65-69	0.41677860896712815
1101	70-74	0.294295563003665
1101	75-79	0.28875095559641295
1101	80-84	0.19123636467563188
1101	85-89	0.1884083160566945
1101	90-94	0.6250578723064777
1101	95-99	0.21991104295886288
1101	100-104	0.4694775336778676
1101	105-109	0.7178515979482043
1101	110-114	0.3303798131546998
1101	115-119	0.4883951866945182
1101	120-124	0.2675596860629881
1101	125-129	0.8819184837783851
1101	130-134	0.47868715892736446
1101	135-139	0.45415591630181495
1101	140-144	0.5764946099825536
1101	145-149	0.49018497328721367
1101	150-154	0.5901579508791457
1101	155-159	0.5646623398301998
1101	160-164	0.4589630319984934
1101	165-169	1.1575657616262873
1101	170-174	0.6207779411985399
1101	175-179	0.40432602716709454
1101	180-184	0.40704939254565176
1101	185-189	0.42497655259976597
1101	190-194	0.6170617165883243
1101	195-199	0.4342451141439909
1101	200-204	1.098979019762016
1101	205-209	1.1909059251118777
1101	210-214	0.5044002551008262
1101	215-219	0.24987022872111808
1101	220-224	0.4816759406597626
1101	225-229	0.4500083208026915
1101	230-234	0.8718396210237245
1101	235-239	0.745621636754926
1101	240-244	0.28828813308072654
1101	245-249	0.4362827698907594
1101	250-251	0.2309429221800805
1102	1	-0.02528259066134808
1102	2	0.11542324914088198
1102	3	0.19235403518909067
1102	4	0.11455764703047322
1102	5	0.4495934936436683
1102	6	0.38743594098883705
1102	7	0.48699359102199224
1102	8	0.3157290156774053
1102	9	0.3296229147100789
1102	10-14	0.38892148823970274
1102	15-19	0.3133815806023037
1102	20-24	0.27828157534889186
1102	25-29	0.3678925558493802
1102	30-34	0.267544644827197
1102	35-39	0.6239609398658317
1102	40-44	0.80838518652331
1102	45-49	0.5690632678436813
1102	50-54	0.3072691927471922
1102	55-59	0.421191170820542
1102	60-64	0.3266830686561235
1102	65-69	0.5033682052517747
1102	70-74	0.45580713518339877
1102	75-79	0.5097377477306182
1102	80-84	0.30891278119342047
1102	85-89	0.23244761627702815
1102	90-94	0.7471678355317337
1102	95-99	0.26839100007893535
1102	100-104	0.4984005993466454
1102	105-109	0.6936652192990138
1102	110-114	0.2890214656180774
1102	115-119	0.35868282131814055
1102	120-124	0.030025767369409095
1102	125-129	0.7958193882085141
1102	130-134	0.3512120087074564
1102	135-139	0.5298644572151687
1102	140-144	0.20985313664133542
1102	145-149	0.4980560928485147
1102	150-154	0.42838507913402424
1102	155-159	0.514094823427186
1102	160-164	0.3805620185226246
1102	165-169	1.0136935509239464
1102	170-174	0.3089276093781663
1102	175-179	0.449729527159235
1102	180-184	0.6505593936463683
1102	185-189	0.6297794532847405
1102	190-194	0.7642224937596751
1102	195-199	0.5114280286254669
1102	200-204	1.4067664236462356
1102	205-209	1.2762345219632891
1102	210-214	0.8135016430240292
1102	215-219	0.6038589782092139
1102	220-224	0.09742881088713062
1102	225-229	0.20765669991814306
1102	230-234	0.7965504105353709
1102	235-239	0.871581358883148
1102	240-244	0.5915453189896951
1102	245-249	0.8647684220013616
1102	250-251	0.5928265830266461
1103	1	0.39645704221317857
1103	2	0.28345933849163885
1103	3	0.10262648273816666
1103	4	0.13465561694080463
1103	5	0.42697448448434727
1103	6	0.11961292183475791
1103	7	0.28937338630277054
1103	8	0.16275310206989246
1103	9	0.10833085546264698
1103	10-14	0.29579567399972007
1103	15-19	0.21877874907643502
1103	20-24	0.15801687549117105
1103	25-29	0.22278796548989277
