##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	mp2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1500000
Sequences flagged as poor quality	0
Sequence length	251
%GC	44
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.844156	32.0	32.0	33.0	29.0	34.0
2	31.272992666666667	32.0	32.0	33.0	29.0	34.0
3	31.294274	33.0	32.0	33.0	29.0	34.0
4	31.638367333333335	33.0	32.0	33.0	29.0	34.0
5	31.563438	33.0	32.0	33.0	29.0	34.0
6	33.82467333333334	37.0	33.0	37.0	30.0	37.0
7	34.10321733333333	37.0	33.0	37.0	31.0	37.0
8	34.375016	37.0	33.0	37.0	32.0	37.0
9	34.41479133333333	37.0	33.0	37.0	32.0	37.0
10-14	34.995759199999995	37.4	34.6	37.4	32.0	37.4
15-19	36.0636296	38.0	37.0	38.0	33.0	38.0
20-24	36.0812768	38.0	37.0	38.4	32.8	38.4
25-29	36.37834386666667	38.0	37.0	39.0	32.8	39.0
30-34	36.374811466666664	38.0	37.0	39.0	32.8	39.0
35-39	36.23981666666667	38.0	37.0	39.0	32.6	39.0
40-44	36.23004866666666	38.0	37.0	39.0	32.6	39.0
45-49	36.26506986666667	38.0	37.0	39.0	32.4	39.0
50-54	36.1551048	38.0	37.0	39.0	32.2	39.0
55-59	36.286648	38.0	37.0	39.0	32.8	39.0
60-64	36.33679893333333	38.0	37.0	39.0	32.8	39.0
65-69	36.275175866666665	38.0	37.0	39.0	32.4	39.0
70-74	36.05566973333333	38.0	37.0	39.0	31.6	39.0
75-79	36.00102973333333	38.0	36.8	39.0	31.4	39.0
80-84	36.091603066666664	38.0	37.0	39.0	31.8	39.0
85-89	35.8689752	38.0	36.8	39.0	30.4	39.0
90-94	35.685041733333335	38.0	36.6	39.0	29.8	39.0
95-99	35.81739493333333	38.0	37.0	39.0	30.2	39.0
100-104	35.586882	38.0	36.4	39.0	28.8	39.0
105-109	35.4375816	38.0	36.0	39.0	26.8	39.0
110-114	35.047984	38.0	35.6	39.0	23.6	39.0
115-119	34.78483893333334	38.0	35.2	39.0	20.2	39.0
120-124	34.792176	38.0	35.0	39.0	21.2	39.0
125-129	34.70507666666666	38.0	34.8	39.0	19.6	39.0
130-134	34.53802999999999	38.0	34.4	39.0	17.2	39.0
135-139	34.21047373333333	38.0	34.0	39.0	16.2	39.0
140-144	33.621489600000004	37.6	33.2	39.0	16.0	39.0
145-149	33.079711466666666	37.0	31.6	38.6	15.8	39.0
150-154	32.68237293333333	37.0	30.4	38.2	15.0	39.0
155-159	32.569732	37.0	30.4	38.4	15.0	39.0
160-164	32.22045733333333	37.0	29.4	38.0	15.0	39.0
165-169	31.699602400000003	37.0	27.0	38.0	14.8	39.0
170-174	30.986235200000003	36.0	26.0	38.0	14.0	39.0
175-179	30.56644346666667	35.6	25.0	38.0	14.0	39.0
180-184	29.960674133333335	34.8	22.4	38.0	13.8	39.0
185-189	29.382860800000003	34.0	15.8	38.0	13.0	39.0
190-194	28.6158976	33.0	15.0	37.0	13.0	38.0
195-199	27.9101672	32.8	15.0	37.0	13.0	38.0
200-204	27.397642533333332	32.2	15.0	37.0	13.0	38.0
205-209	26.653714933333333	30.0	14.6	37.0	13.0	38.0
210-214	26.016921466666666	26.8	14.0	37.0	13.0	37.6
215-219	25.374935066666666	26.0	14.0	36.6	13.0	37.0
220-224	24.68171106666666	25.2	14.0	35.6	13.0	37.0
225-229	24.0027556	24.0	14.0	34.0	13.0	37.0
230-234	23.2139184	24.0	14.0	33.0	13.0	37.0
235-239	22.6574156	22.2	14.0	33.0	13.0	37.0
240-244	22.132188000000003	16.8	14.0	32.6	13.0	37.0
245-249	21.495359999999998	15.0	14.0	31.6	12.2	37.0
250-251	19.90356	14.5	13.5	27.5	12.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.01094867735053029
1101	2	0.17934234519523784
1101	3	0.1136326390147886
1101	4	0.3177961649016865
1101	5	0.3446474331033187
1101	6	0.6036824852356304
1101	7	0.47473979394219157
1101	8	0.2985280483548536
1101	9	0.05101084780787346
1101	10-14	0.05370806080841817
1101	15-19	0.19143231998073418
1101	20-24	0.21015215726053071
1101	25-29	0.2594764909711529
1101	30-34	0.29888847482687453
1101	35-39	0.383509384944972
1101	40-44	0.5665148337979176
1101	45-49	0.3363010772992183
1101	50-54	0.37479847505486674
1101	55-59	0.14635061159788876
1101	60-64	0.19962830607949655
1101	65-69	0.20848517979903392
1101	70-74	0.38146954630070695
1101	75-79	0.46403011388083115
1101	80-84	0.2543285512922253
1101	85-89	0.3981083104448757
1101	90-94	0.5240225174744566
1101	95-99	0.256152338934335
1101	100-104	0.47420394276215205
1101	105-109	0.5679168068829057
1101	110-114	0.7433254194307324
1101	115-119	0.8773618295193657
1101	120-124	0.3687041684846264
1101	125-129	0.32677549488237645
1101	130-134	0.45960306915959137
1101	135-139	0.5056138156517918
1101	140-144	0.5074034979113335
1101	145-149	0.9407308080372587
1101	150-154	0.8103260662797567
1101	155-159	0.7008340098815324
1101	160-164	0.183704404848541
1101	165-169	0.2609671760549652
1101	170-174	0.524138306348437
1101	175-179	0.39028363840965596
1101	180-184	0.25506769730753476
1101	185-189	0.19443410508906922
1101	190-194	0.528819259321839
1101	195-199	0.33885051186088333
1101	200-204	0.44469032818522436
1101	205-209	0.47588587140548455
1101	210-214	0.3845428587355393
1101	215-219	0.34543343954288375
1101	220-224	0.12709215341044455
1101	225-229	0.05168223134524652
1101	230-234	0.457510569120231
1101	235-239	0.23591404417776474
1101	240-244	0.18156762362783496
1101	245-249	0.11937327565025413
1101	250-251	-0.09993454984881822
1102	1	0.041126828686870454
1102	2	0.21112439182305565
1102	3	0.12190268138196458
1102	4	0.2791572266174711
1102	5	0.26076818741267616
1102	6	0.4038939450880008
1102	7	0.5523195118453117
1102	8	0.3786585477296356
1102	9	0.28987980764827626
1102	10-14	0.2717076492376691
1102	15-19	0.19428819023066524
1102	20-24	0.2218324597718606
1102	25-29	-0.025485315674004028
1102	30-34	-0.1648602099584764
1102	35-39	-0.09718073441737829
1102	40-44	-0.43401340562959234
1102	45-49	-0.8662372613359892
1102	50-54	-1.15136631458941
1102	55-59	0.017314739994290562
1102	60-64	0.027275981012444106
1102	65-69	0.2907090154879626
1102	70-74	0.4075067285041669
1102	75-79	0.2450530449345294
1102	80-84	0.5266685360736787
1102	85-89	0.5883434527068303
1102	90-94	0.29782542431247805
1102	95-99	0.47270739609276546
1102	100-104	0.7193883941390382
1102	105-109	0.8379182220846175
1102	110-114	0.8966349404567282
1102	115-119	0.9937071018226291
1102	120-124	0.7156593995692972
1102	125-129	0.6108235392718626
1102	130-134	0.790690128678051
1102	135-139	0.6311990220764017
1102	140-144	0.8361664133362936
1102	145-149	1.2867923084655786
1102	150-154	1.1442192930695967
1102	155-159	0.9260078848474365
1102	160-164	0.5911381108516593
1102	165-169	0.7062373257586962
1102	170-174	1.0758042449040772
1102	175-179	0.7316977394249768
1102	180-184	0.5878001852116554
1102	185-189	0.5130691327675372
1102	190-194	0.5829643988559425
1102	195-199	0.5088733943738362
1102	200-204	0.5177261546664553
1102	205-209	0.5064265058123922
1102	210-214	0.5211443167351604
1102	215-219	0.7699135238260091
1102	220-224	0.607735475401654
1102	225-229	0.7369755848879329
1102	230-234	0.6043635911912233
1102	235-239	1.1371238707369322
1102	240-244	0.7423904984836653
1102	245-249	0.7677305477703023
1102	250-251	0.3654535982810998
1103	1	0.1961919325685777
1103	2	0.0753054286566055
1103	3	-0.21819456829760853
1103	4	0.07806306640364369
1103	5	0.031207948504487604
1103	6	0.32192381057969754
1103	7	0.21296541988666462
1103	8	0.16684406527854634
1103	9	0.22149534429951245
1103	10-14	0.10756177865526695
1103	15-19	-0.019749790478492457
1103	20-24	-0.00522926157270831
