##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sub1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5000000
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.370813	34.0	31.0	34.0	31.0	34.0
2	32.6669054	34.0	31.0	34.0	31.0	34.0
3	32.67392	34.0	31.0	34.0	31.0	34.0
4	36.1519496	37.0	37.0	37.0	35.0	37.0
5	36.0926208	37.0	35.0	37.0	35.0	37.0
6	36.0663856	37.0	36.0	37.0	35.0	37.0
7	36.0874556	37.0	36.0	37.0	35.0	37.0
8	36.0462582	37.0	36.0	37.0	35.0	37.0
9	37.769981	39.0	38.0	39.0	35.0	39.0
10-11	37.7729024	39.0	38.0	39.0	35.0	39.0
12-13	37.716726	39.0	38.0	39.0	35.0	39.0
14-15	39.1438574	41.0	39.0	41.0	36.0	41.0
16-17	39.108417	40.5	39.0	41.0	36.0	41.0
18-19	39.0845575	40.0	39.0	41.0	36.0	41.0
20-21	39.029158699999996	40.0	39.0	41.0	36.0	41.0
22-23	38.9460826	40.0	38.5	41.0	35.5	41.0
24-25	38.808427800000004	40.0	38.0	41.0	35.0	41.0
26-27	38.566334600000005	40.0	38.0	41.0	34.5	41.0
28-29	38.4887945	40.0	38.0	41.0	34.0	41.0
30-31	38.5631142	40.0	38.0	41.0	34.5	41.0
32-33	38.6033262	40.0	38.0	41.0	34.5	41.0
34-35	38.5531578	40.0	38.0	41.0	34.5	41.0
36-37	38.5121349	40.0	38.0	41.0	34.0	41.0
38-39	38.409908900000005	40.0	38.0	41.0	34.0	41.0
40-41	38.3149403	40.0	38.0	41.0	34.0	41.0
42-43	38.112137000000004	40.0	38.0	41.0	33.0	41.0
44-45	37.8770219	40.0	37.5	41.0	33.0	41.0
46-47	37.6719394	40.0	37.0	41.0	33.0	41.0
48-49	37.4478213	40.0	37.0	41.0	32.5	41.0
50-51	37.078807	39.0	36.0	41.0	31.5	41.0
52-53	36.7472781	39.0	35.0	40.5	31.0	41.0
54-55	36.4191141	38.0	35.0	40.0	31.0	41.0
56-57	35.9975848	37.5	35.0	40.0	31.0	41.0
58-59	35.5647311	37.0	35.0	39.5	30.0	41.0
60-61	35.0792409	36.0	34.0	39.0	29.5	41.0
62-63	34.6200748	35.5	34.0	39.0	29.0	40.0
64-65	34.1974971	35.0	34.0	37.5	29.0	40.0
66-67	33.7072105	35.0	33.5	37.0	28.5	39.0
68-69	33.3432415	35.0	33.0	36.0	28.0	39.0
70-71	33.0410248	35.0	33.0	36.0	28.0	37.5
72-73	32.7548605	35.0	33.0	35.0	27.0	37.0
74-75	32.4742497	35.0	33.0	35.0	27.0	36.5
76-77	30.7245064	33.0	30.0	34.5	24.5	35.0
78-79	31.999166199999998	34.5	32.5	35.0	26.5	36.0
80-81	32.1138836	35.0	33.0	35.0	27.0	35.5
82-83	31.9893056	35.0	33.0	35.0	27.0	35.0
84-85	31.8223603	35.0	33.0	35.0	26.0	35.0
86-87	31.672524199999998	35.0	33.0	35.0	25.0	35.0
88-89	31.4339123	35.0	32.0	35.0	25.0	35.0
90-91	31.2722671	34.0	32.0	35.0	24.5	35.0
92-93	31.054634399999998	34.0	32.0	35.0	24.0	35.0
94-95	30.7848281	34.0	32.0	35.0	23.0	35.0
96-97	30.4709159	34.0	31.0	35.0	19.5	35.0
98-99	30.1426197	34.0	31.0	35.0	17.5	35.0
100-101	29.0048187	33.5	29.0	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.2888501132889729
1101	2	0.3237886751985144
1101	3	0.39496488345788805
1101	4	0.24841688188686817
1101	5	0.2162187239264881
1101	6	0.2776127580688552
1101	7	0.24201111977910017
1101	8	0.2535773339002674
1101	9	0.3511766532659095
1101	10-11	0.3095446155140138
1101	12-13	0.33706013632677667
1101	14-15	0.44031600923442227
1101	16-17	0.40337811061594664
1101	18-19	0.36623977797792406
1101	20-21	0.374882372403853
1101	22-23	0.17823628385652768
1101	24-25	0.22123831774779745
1101	26-27	0.13977505640244203
1101	28-29	0.1622246295055021
1101	30-31	0.2509100682667196
1101	32-33	0.20081161882550447
1101	34-35	0.3247744900529099
1101	36-37	0.22773397785145733
1101	38-39	0.22478399075907163
1101	40-41	0.15137348873560796
1101	42-43	0.09455178564513744
1101	44-45	0.04563708746294992
1101	46-47	0.042557785968639905
1101	48-49	0.014662298316736155
1101	50-51	0.03706074167011053
1101	52-53	-0.045828127893237536
1101	54-55	-0.17031455577204468
1101	56-57	-0.1806020369009289
1101	58-59	-0.21171436396630128
1101	60-61	-0.2778814909329981
1101	62-63	-0.3721094548340247
1101	64-65	-0.4156273235372083
1101	66-67	-0.38688950291519575
1101	68-69	-0.41592581845346643
1101	70-71	-0.4989930854468838
1101	72-73	-0.6916058638203708
1101	74-75	-0.8493228983431784
1101	76-77	-0.7111483313894986
1101	78-79	-0.7579639253438799
1101	80-81	-0.7582665630257779
1101	82-83	-0.7949418339487373
1101	84-85	-0.9508088071819891
1101	86-87	-1.073316977881543
1101	88-89	-1.0503396642547962
1101	90-91	-1.0157839939471351
1101	92-93	-1.1323493751149805
1101	94-95	-1.3393523402982837
1101	96-97	-1.4719032914916426
1101	98-99	-1.6530502477739475
1101	100-101	-1.797329328977515
1102	1	0.30016982924071556
1102	2	0.29943074778520185
1102	3	0.36839465291164686
1102	4	0.2722462092139537
1102	5	0.22318001085369588
1102	6	0.24538277177729384
1102	7	0.22456302325056043
1102	8	0.23891396341907978
1102	9	0.31637849930424977
1102	10-11	0.29009051709816447
1102	12-13	0.31837515239946157
1102	14-15	0.34542409827423626
1102	16-17	0.31691400083069254
1102	18-19	0.31614847928329937
1102	20-21	0.3027717552707543
1102	22-23	0.2341345843622662
1102	24-25	0.30370901267970396
1102	26-27	0.2575242866404963
1102	28-29	0.306468490799638
1102	30-31	0.3499120732122236
1102	32-33	0.27286018201604634
1102	34-35	0.3117576447758452
1102	36-37	0.24511277910696094
1102	38-39	0.26813677992873863
1102	40-41	0.2570456620848134
1102	42-43	0.2771582052600934
1102	44-45	0.21885317121784453
1102	46-47	0.24429021209446944
1102	48-49	0.2209115937778776
1102	50-51	0.20175272307396597
1102	52-53	0.13419996915053645
1102	54-55	0.0461537563702521
1102	56-57	0.050913282891905
1102	58-59	0.07371048029227723
1102	60-61	0.09138306863939505
1102	62-63	0.11298608097603591
1102	64-65	0.022503941576729858
1102	66-67	0.006849305395569161
1102	68-69	-0.029118360557795597
1102	70-71	-0.11978638359382643
1102	72-73	-0.1697362620192635
1102	74-75	-0.21896934012717395
1102	76-77	-0.23602933843945095
1102	78-79	-0.33959396144216925
1102	80-81	-0.27409445871627014
1102	82-83	-0.3337383439068802
1102	84-85	-0.38239196716639157
1102	86-87	-0.422316631524442
1102	88-89	-0.4199026007196025
1102	90-91	-0.37184028154156934
1102	92-93	-0.5004981904878427
1102	94-95	-0.6654719794816977
1102	96-97	-0.8240271277161249
1102	98-99	-0.9796061558204343
1102	100-101	-1.0490894493587568
1103	1	0.3263913875780986
1103	2	0.32724735299160557
1103	3	0.38070420975937225
1103	4	0.2772583091418497
1103	5	0.22389026232618647
1103	6	0.24609249017497348
