##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sub2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5000000
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.6390328	33.0	31.0	34.0	30.0	34.0
2	31.811893	34.0	31.0	34.0	30.0	34.0
3	31.984747	34.0	31.0	34.0	30.0	34.0
4	35.34357	37.0	35.0	37.0	33.0	37.0
5	35.2994624	37.0	35.0	37.0	33.0	37.0
6	35.2849516	37.0	35.0	37.0	33.0	37.0
7	35.3169706	37.0	35.0	37.0	33.0	37.0
8	35.272725	37.0	35.0	37.0	33.0	37.0
9	36.8799692	39.0	37.0	39.0	33.0	39.0
10-11	36.848875	39.0	37.0	39.0	33.0	39.0
12-13	36.768573	39.0	37.0	39.0	33.0	39.0
14-15	38.1771983	40.0	38.0	41.0	33.0	41.0
16-17	38.0546519	40.0	38.0	41.0	33.0	41.0
18-19	37.954116	40.0	38.0	41.0	33.0	41.0
20-21	37.8683239	40.0	38.0	41.0	32.5	41.0
22-23	37.6678171	40.0	38.0	41.0	32.0	41.0
24-25	37.517416	40.0	38.0	41.0	32.0	41.0
26-27	37.3753847	40.0	38.0	41.0	31.0	41.0
28-29	37.2747234	40.0	37.5	41.0	31.0	41.0
30-31	37.192829599999996	40.0	37.0	41.0	31.0	41.0
32-33	37.088284	40.0	37.0	41.0	30.5	41.0
34-35	36.964568400000005	40.0	37.0	41.0	30.0	41.0
36-37	36.908654	40.0	37.0	41.0	30.0	41.0
38-39	36.779829199999995	40.0	37.0	41.0	30.0	41.0
40-41	36.8362122	40.0	37.0	41.0	30.0	41.0
42-43	36.8495609	40.0	37.0	41.0	30.0	41.0
44-45	36.6423834	40.0	37.0	41.0	30.0	41.0
46-47	36.469009400000004	39.5	36.0	41.0	29.5	41.0
48-49	36.1648457	39.0	35.5	41.0	29.0	41.0
50-51	34.5615133	37.5	33.5	39.5	26.5	40.0
52-53	34.7370589	37.5	34.0	39.5	27.0	40.0
54-55	35.2876725	38.0	35.0	40.0	28.0	41.0
56-57	35.0597865	37.5	35.0	40.0	28.0	41.0
58-59	34.63571760000001	37.0	34.0	40.0	26.5	41.0
60-61	34.112725	36.0	34.0	39.0	26.0	41.0
62-63	33.4326497	35.5	33.5	39.0	25.0	41.0
64-65	33.1624982	35.0	33.0	37.5	25.0	40.0
66-67	32.908234	35.0	33.0	37.0	25.5	39.0
68-69	32.623953900000004	35.0	33.0	36.5	25.5	39.0
70-71	32.293058599999995	35.0	33.0	36.0	25.0	38.5
72-73	31.976231900000002	35.0	33.0	35.5	24.0	37.0
74-75	31.6784684	35.0	33.0	35.0	24.0	37.0
76-77	31.4287994	35.0	32.0	35.0	23.0	36.0
78-79	31.2160752	35.0	32.0	35.0	23.0	36.0
80-81	30.970436300000003	35.0	32.0	35.0	20.0	36.0
82-83	30.766181600000003	35.0	32.0	35.0	20.0	35.0
84-85	30.522499	35.0	31.0	35.0	18.5	35.0
86-87	30.2789311	34.5	31.0	35.0	17.5	35.0
88-89	30.0951126	34.0	31.0	35.0	16.0	35.0
90-91	29.8557178	34.0	31.0	35.0	10.0	35.0
92-93	29.6816996	34.0	31.0	35.0	6.0	35.0
94-95	29.4162218	34.0	30.0	35.0	2.0	35.0
96-97	29.1160642	34.0	30.0	35.0	2.0	35.0
98-99	28.7971367	34.0	30.0	35.0	2.0	35.0
100-101	27.9945875	33.5	28.5	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.6856650903302217
1101	2	0.7101863611551877
1101	3	0.6413887501216138
1101	4	0.5820964664706736
1101	5	0.6322648551004377
1101	6	0.6015141230761856
1101	7	0.5931189281797131
1101	8	0.6165686718280838
1101	9	0.6623486882932852
1101	10-11	0.7462389372582194
1101	12-13	0.7575030104303977
1101	14-15	0.847067899998251
1101	16-17	0.8488888904753438
1101	18-19	0.8703855660871014
1101	20-21	0.8771852360297174
1101	22-23	0.8864861409097173
1101	24-25	0.9163250187872123
1101	26-27	0.8680476028161195
1101	28-29	0.8631272372640666
1101	30-31	0.7804522581597482
1101	32-33	0.7260197745963595
1101	34-35	0.7185461251368395
1101	36-37	0.5864404503267053
1101	38-39	0.5506715485698876
1101	40-41	0.7110037129620252
1101	42-43	0.6964030097148495
1101	44-45	0.7318942531246364
1101	46-47	0.7521874750209463
1101	48-49	0.712360131767646
1101	50-51	0.5591914236473841
1101	52-53	0.48343437980628323
1101	54-55	0.5630200383510697
1101	56-57	0.5683596356030662
1101	58-59	0.5667570687343471
1101	60-61	0.5327470774078407
1101	62-63	0.7695041259349367
1101	64-65	0.5855242980507072
1101	66-67	0.3675956351349754
1101	68-69	0.2120113971428168
1101	70-71	0.0915146578931143
1101	72-73	-0.04016118299917082
1101	74-75	-0.07595406227765267
1101	76-77	-0.1405599192180631
1101	78-79	-0.187860443663741
1101	80-81	-0.27137094186744903
1101	82-83	-0.37696094434666705
1101	84-85	-0.38583863746044855
1101	86-87	-0.4425353112368846
1101	88-89	-0.678068744831819
1101	90-91	-0.7136573474566923
1101	92-93	-0.9624084844238077
1101	94-95	-1.2003616237265184
1101	96-97	-1.4366271895699967
1101	98-99	-1.4885393526152662
1101	100-101	-1.651567539609367
1102	1	0.5347222316178879
1102	2	0.5382561502699232
1102	3	0.48338492969788405
1102	4	0.4904345807859656
1102	5	0.556374723497008
1102	6	0.5333928315745027
1102	7	0.4779483101660631
1102	8	0.5102196300213748
1102	9	0.6410593130050799
1102	10-11	0.6599722346609269
1102	12-13	0.6299992480054613
1102	14-15	0.7228466752735585
1102	16-17	0.7596661575093009
1102	18-19	0.7615540598862722
1102	20-21	0.7633322675476677
1102	22-23	0.7663843131501977
1102	24-25	0.8492588487701695
1102	26-27	0.8860667591851055
1102	28-29	0.8097405027817501
1102	30-31	0.6863523102155398
1102	32-33	0.7181866825952667
1102	34-35	0.7159334190247222
1102	36-37	0.7343844270323174
1102	38-39	0.6813614452884096
1102	40-41	0.7960579271846413
1102	42-43	0.809097842396838
1102	44-45	0.8447557556765162
1102	46-47	0.8058843769855315
1102	48-49	0.8208627111806734
1102	50-51	0.7581359545788686
1102	52-53	0.6422307766292832
1102	54-55	0.706087549769201
1102	56-57	0.7079549716546367
1102	58-59	0.749934224459686
1102	60-61	0.8248707827772179
1102	62-63	0.8891275999225101
1102	64-65	0.6837754707373236
1102	66-67	0.5487828050921735
1102	68-69	0.4630461917868658
1102	70-71	0.3802369825503433
1102	72-73	0.39033947475217445
1102	74-75	0.34551173226702403
1102	76-77	0.22365847235737846
1102	78-79	0.24392109469881973
1102	80-81	0.16330336319314043
1102	82-83	0.15712098239655958
1102	84-85	0.17422467187324386
1102	86-87	0.17888563135875302
1102	88-89	0.10194602475619874
1102	90-91	0.08273818062474803
1102	92-93	-0.03413122181983752
1102	94-95	-0.1653236539379641
1102	96-97	-0.2723325442288953
1102	98-99	-0.30184875445888437
1102	100-101	-0.42193902088502355
1103	1	0.6364973533340965
1103	2	0.6843237944608944
1103	3	0.5868132904702108
1103	4	0.5846491133278704
1103	5	0.6615951077207995
1103	6	0.6606925217514217
1103	7	0.6226904366402195
1103	8	0.6235252795830419
