gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	Cdh1	2836.81094283902	5.84453072900959	0.143280355217041	40.7908726926052	0	0
ENSMUSG00000025608.9	Podxl	4423.42031954854	8.30267918919519	0.196713910268406	42.206873819277	0	0
ENSMUSG00000054889.10	Dsp	6931.01529159083	4.65093133587838	0.113746061308372	40.8887242545431	0	0
ENSMUSG00000097767.8	Miat	4122.7194700671	6.58410178591504	0.149888846505331	43.926562512314	0	0
ENSMUSG00000045545.8	Krt14	4116.19475676543	9.13487102818209	0.238803633114554	38.2526467836446	3.7588514335602e-320	1.55608929670263e-316
ENSMUSG00000047586.4	Nccrp1	2416.0400149767	7.42786375822095	0.196853585267686	37.7329361216377	1.43290508153016e-311	4.94328371376546e-308
ENSMUSG00000030693.10	Klk10	1286.67797126622	5.43590406058093	0.145745323512758	37.2972794568266	1.81649989547605e-304	5.37139019092269e-301
ENSMUSG00000020758.15	Itgb4	6450.0429620195	4.26744397700044	0.114748775007343	37.1894512749905	1.01057227201184e-302	2.61472943229665e-299
ENSMUSG00000053797.10	Krt16	2378.92161513189	7.99278765590699	0.216827780309955	36.8623782638983	1.85259912224321e-297	4.26077213681246e-294
ENSMUSG00000037820.15	Tgm2	3956.73520272911	4.03171803936943	0.110062325591085	36.6312270590073	9.10827307996223e-294	1.88532144482138e-290
ENSMUSG00000024406.16	Pou5f1	2312.04183391704	4.47741547790125	0.122945177346898	36.4179838080832	2.2106752257837e-290	4.15988786349971e-287
ENSMUSG00000056602.12	Fry	1189.78539376421	5.37159685683975	0.151887504816677	35.3656271022629	5.76725167489068e-274	9.94802853488018e-271
ENSMUSG00000047281.3	Sfn	1063.70447777478	5.25898935623194	0.149385826806126	35.2040716891911	1.73233478000111e-271	2.75827673932638e-268
ENSMUSG00000037185.9	Krt80	1433.84198290772	4.99749863112484	0.143444742343657	34.8391899868461	6.20713118361005e-266	9.17724345496746e-263
ENSMUSG00000027375.14	Mal	3847.63310373655	5.75308421425083	0.165826840031686	34.6933235485374	9.93384296557349e-264	1.37080410362937e-260
ENSMUSG00000026413.12	Pkp1	1674.18479518684	5.51208552163864	0.162214390087471	33.9802499560388	4.36186611852633e-253	5.64289167421104e-250
ENSMUSG00000031995.9	St14	1281.30945734662	6.00822793497156	0.179485051368527	33.4748096800284	1.12123554376125e-245	1.3652032070773e-242
ENSMUSG00000019102.10	Aldh3a1	4329.89298678273	3.75917516612316	0.117774308760819	31.918465119226	1.48040064051925e-223	1.70237849211711e-220
ENSMUSG00000034282.3	Evpl	1270.63752256873	6.82292866797119	0.215609043597224	31.6449094812413	8.91029766990841e-220	9.70706586681233e-217
ENSMUSG00000074796.10	Slc4a11	897.502845159841	4.28170246395803	0.135862185357586	31.5150418984407	5.4051743650453e-218	5.59408520910364e-215
ENSMUSG00000028435.8	Aqp3	1003.93881832749	6.25888263355967	0.199984437646244	31.296848430932	5.15056820397152e-215	5.07674339304793e-212
ENSMUSG00000042793.13	Lgr6	1010.89436045756	4.17912496564781	0.13460026747199	31.0484150153526	1.19846714603413e-211	1.12759415708002e-208
ENSMUSG00000049382.10	Krt8	5900.54078317975	10.8676992903428	0.354166281506304	30.6853019551197	8.94059240608779e-207	8.04614444407005e-204
ENSMUSG00000063450.14	Syne2	2046.66327921776	3.45858795600358	0.11297357287375	30.6141327394206	7.93791150375771e-206	6.84611792567836e-203
ENSMUSG00000022871.13	Fetub	1112.28129361731	6.65137006143256	0.221252890033914	30.0622968604524	1.50807731786367e-198	1.24862769609841e-195
ENSMUSG00000020788.15	Atp2a3	2130.77445165229	8.78604165924096	0.294619803273935	29.8216262505334	2.04879235675253e-195	1.6310751150931e-192
ENSMUSG00000025432.11	Avil	1259.906479312	6.46435971529159	0.218916916867777	29.5288267703677	1.22831786536105e-191	9.41664870189198e-189
ENSMUSG00000061126.5	Cyp4f39	1626.75630693491	8.16559570460803	0.276828735351917	29.4969223271839	3.15287911518558e-191	2.33076588590094e-188
ENSMUSG00000060716.7	Plekhh1	860.921701217517	6.77118982817796	0.238726519194991	28.3637940644846	5.6576612754138e-177	4.03820450826863e-174
ENSMUSG00000003153.10	Slc2a3	1026.39855985628	4.76649291653514	0.169344831505245	28.146668984034	2.63225283329364e-174	1.8161667132115e-171
ENSMUSG00000040703.11	Cyp2s1	1375.83413351054	7.27928483350282	0.261256275803683	27.8626219068235	7.57489671933407e-171	5.05783184495148e-168
ENSMUSG00000048699.4	Krt90	2471.37712249929	9.61094025761927	0.347492396957607	27.6579871725705	2.23705326336198e-168	1.4470239218228e-165
ENSMUSG00000038295.14	Atg9b	634.761920405093	5.23269049878019	0.190542606004589	27.4620496092835	4.98843918070961e-166	3.12896068489419e-163
ENSMUSG00000012350.15	Ehf	1208.781273802	7.69182117600664	0.282554412970881	27.2224422019533	3.52370318693366e-163	2.14520977253941e-160
ENSMUSG00000024421.16	Lama3	661.666697990386	5.82574984802072	0.214736117329	27.129808997594	4.383021998801e-162	2.59211921009091e-159
ENSMUSG00000048373.8	Fgfbp1	881.641007353718	7.23458825740067	0.279877117300949	25.8491595424766	2.48661825666925e-147	1.42973642485547e-144
ENSMUSG00000024331.11	Dsc2	737.196698576095	5.55968336762762	0.219949284850527	25.2771150013326	5.70291181961606e-141	3.19039383119548e-138
ENSMUSG00000043439.5	Epop	662.461832991792	5.1831836066318	0.205149558801461	25.2653899765291	7.67329007686875e-141	4.1797218763449e-138
ENSMUSG00000031297.14	Slc7a3	807.959474388375	3.91267369066411	0.15489413695455	25.2603085410017	8.72609127070743e-141	4.63131700544546e-138
ENSMUSG00000018166.8	Erbb3	701.347465307602	6.82064258025048	0.270494296015883	25.2154765579603	2.71005262606356e-140	1.40238448267224e-137
ENSMUSG00000020911.14	Krt19	1714.47084783247	3.62891807893725	0.144234839625936	25.1597886360092	1.10432455716172e-139	5.57522292894891e-137
ENSMUSG00000074227.12	Spint2	756.435147804175	3.90669726054393	0.15603825508749	25.036791512142	2.4316048650933e-138	1.19837593101348e-135
ENSMUSG00000022123.9	Scel	575.639688969441	4.74964389993238	0.189910161433251	25.0099513585099	4.76478214398972e-138	2.29363315345217e-135
ENSMUSG00000018849.6	Wwc1	1065.03159620916	3.63681502996815	0.145653618639817	24.9689301503833	1.33029417160235e-137	6.25812705863569e-135
ENSMUSG00000115388.2	NA	609.946644150341	6.50437346972978	0.260540874398258	24.9648869289788	1.47183256345541e-137	6.77010271799188e-135
ENSMUSG00000074272.10	Ceacam1	530.270936938031	4.94720134421567	0.198933457585707	24.8686239321219	1.62634597490275e-136	7.31820333358958e-134
ENSMUSG00000022218.16	Tgm1	1177.21078432132	8.46622194312414	0.341549009197513	24.7877221574027	1.2160913655686e-135	5.35571812253288e-133
ENSMUSG00000030494.13	Rhpn2	533.907716522072	5.79073189724436	0.236570038502882	24.4778752790955	2.54166682210736e-132	1.09604086564167e-129
ENSMUSG00000026479.13	Lamc2	666.16016003051	3.26679053650036	0.135078737415227	24.1843431395006	3.25128777028551e-129	1.37343684810489e-126
ENSMUSG00000019866.15	Crybg1	1655.15713220834	2.95569323249239	0.122386599666197	24.1504645161633	7.38319593237498e-129	3.05649545208459e-126
ENSMUSG00000035557.9	Krt17	5647.18736730534	11.8828899636706	0.493661240221368	24.0709397366138	5.03949987929866e-128	2.04534525493339e-125
ENSMUSG00000026639.18	Lamb3	433.833125152017	4.26902305241234	0.1779639265571	23.9881370061961	3.69827755045368e-127	1.47212782724694e-124
ENSMUSG00000038807.19	Rap1gap2	1122.55823408301	2.96846021513389	0.123829388767774	23.9721785326813	5.42608071075924e-127	2.11914046475482e-124
ENSMUSG00000029019.8	Nppb	424.339506629162	5.45080925429544	0.228302839775718	23.8753458329745	5.52491582568227e-126	2.11778208658884e-123
ENSMUSG00000056413.16	Adap1	488.24683788855	5.94411794249381	0.254257941700141	23.3782980494037	7.10618489355809e-121	2.67438038385016e-118
ENSMUSG00000015468.14	Notch4	471.24547049237	5.99046272341109	0.256284557821347	23.3742632577456	7.81039793650694e-121	2.88691833728138e-118
ENSMUSG00000063011.7	Msln	8525.88568333013	1.94745811257764	0.0838368389416286	23.229145291768	2.31170819277695e-119	8.39474524250703e-117
ENSMUSG00000005968.14	Tuft1	903.745002139003	2.8320200419672	0.122270551407727	23.1619143723615	1.10268289070552e-118	3.93524709564028e-116
ENSMUSG00000046410.10	Kcnk6	441.11592520767	4.26941640703309	0.184723470224754	23.1124740231355	3.46872152145709e-118	1.2169333351295e-115
ENSMUSG00000041607.17	Mbp	443.688301015558	5.01816143342319	0.217553138067449	23.0663711771759	1.00770793100765e-117	3.47642441065456e-115
ENSMUSG00000024479.3	Mal2	754.796179757435	7.38555527768853	0.321129989792463	22.9986470041668	4.80888572920794e-117	1.63178894604713e-114
ENSMUSG00000018920.11	Cxcl16	364.332122268857	3.70671799387534	0.163680010354573	22.6461251184286	1.52333722480345e-113	5.08573503487205e-111
ENSMUSG00000042377.8	Fam83g	352.821650107605	4.35575766478583	0.193122287175813	22.5544018170232	1.21571445003187e-112	3.99429736527137e-110
ENSMUSG00000030513.14	Pcsk6	1240.47372493404	2.47544029787328	0.109876661857821	22.5292637764739	2.14491572351462e-112	6.9371266501608e-110
ENSMUSG00000021118.7	Plek2	402.485701200418	5.27430476027338	0.234189258879439	22.5215485351896	2.55290105535082e-112	8.12961522226255e-110
ENSMUSG00000020435.17	Osbp2	379.240079001387	4.64155426507536	0.206567534907748	22.4699116787555	8.17536686156488e-112	2.56396846465957e-109
ENSMUSG00000084128.10	Esrp2	460.024387198283	4.29871620361044	0.19133088447102	22.4674454178961	8.64212540114115e-112	2.66990080116747e-109
ENSMUSG00000026380.10	Tfcp2l1	355.034034013166	4.9056982925388	0.220686045331448	22.229308994916	1.7886647173389e-109	5.44464279179382e-107
ENSMUSG00000024011.17	Pi16	390.579662574639	5.20751086562693	0.235666258973679	22.0969725929605	3.37981695146137e-108	1.01389610258404e-105
ENSMUSG00000002799.6	Jag2	448.504316437008	4.58577492150738	0.207862231787401	22.0616072582038	7.39096470857283e-108	2.18550826432499e-105
ENSMUSG00000044041.4	Krt13	973.374685697705	8.60651623764246	0.391399421238718	21.9890877978414	3.66276601917624e-107	1.06782526522435e-104
ENSMUSG00000044017.16	Adgrd1	444.577508678947	6.28128538885026	0.286050808066791	21.9586353602736	7.16176471745435e-107	2.05890788731372e-104
ENSMUSG00000037411.10	Serpine1	7339.61990157717	-2.11106395301719	0.0962467335008205	-21.9338763637022	1.23449518376905e-106	3.50038572723775e-104
ENSMUSG00000068876.16	Cgn	639.838437801415	7.58089634683569	0.3464292134573	21.8829592088373	3.77534185742505e-106	1.05602433928164e-103
ENSMUSG00000038732.15	Mboat1	761.088570329709	2.97864059260644	0.136709063077692	21.7881720900514	3.0040432625846e-105	8.29075886563181e-103
ENSMUSG00000025813.14	Homer2	500.562139616853	3.09390947361456	0.142328630572205	21.7377871281139	9.01411362317409e-105	2.45504128797474e-102
ENSMUSG00000026110.15	Mgat4a	403.07963501823	3.49137495753425	0.160983880586375	21.6877301306014	2.67882343827971e-104	7.20116446090282e-102
ENSMUSG00000056724.15	Nbeal2	632.396323746463	3.20549403230021	0.148697268835764	21.5571816308252	4.53390619880207e-103	1.20317082575646e-100
ENSMUSG00000063727.3	Tnfrsf11b	1672.24380518338	-2.42183106413529	0.11238842320277	-21.5487591614827	5.4384941463368e-103	1.4249543080383e-100
ENSMUSG00000033987.16	Dnah17	765.803606967142	4.69205312373879	0.218886616034589	21.4359982750035	6.16964243969428e-102	1.5963178607404e-99
