Семейство,Ген
ARID4A,CAI9714888.1
ARID4A,CAI9714889.1
ARID4A,CAI9718675.1
ARID4A,CAI9718676.1
ARID4A,CAI9719588.1
ARID4A,CAI9719589.1
ARID4A,CAI9723401.1
ARID4A,CAI9726201.1
ARID4A,CAI9730948.1
ARID4A,CAI9730949.1
ARID4A,CAI9731215.1
ARID4A,CAI9734578.1
ARID4A,CAI9734579.1
ARID4A,CAI9734580.1
ARID4A,CAI9734581.1
ARID4A,CAI9735711.1
ARID4A,CAI9735712.1
ARID4A,CAI9735713.1
ARID4A,CAI9735714.1
ARID4A,CAI9735715.1
ARID4A,CAI9735716.1
ARID4A,CAI9735717.1
ARID4A,CAI9735718.1
ARID4A,CAI9735719.1
ARID4A,CAI9735720.1
ARID4A,CAI9741880.1
ARID4A,CAI9741881.1
ARID4A,CAI9741882.1
ARID4A,CAI9741883.1
ARID4A,CAI9741884.1
ARID4B,CAI9714888.1
ARID4B,CAI9714889.1
ARID4B,CAI9718675.1
ARID4B,CAI9718676.1
ARID4B,CAI9719588.1
ARID4B,CAI9719589.1
ARID4B,CAI9723401.1
ARID4B,CAI9726201.1
ARID4B,CAI9730948.1
ARID4B,CAI9730949.1
ARID4B,CAI9731215.1
ARID4B,CAI9734578.1
ARID4B,CAI9734579.1
ARID4B,CAI9734580.1
ARID4B,CAI9734581.1
ARID4B,CAI9735711.1
ARID4B,CAI9735712.1
ARID4B,CAI9735713.1
ARID4B,CAI9735714.1
ARID4B,CAI9735715.1
ARID4B,CAI9735716.1
ARID4B,CAI9735717.1
ARID4B,CAI9735718.1
ARID4B,CAI9735719.1
ARID4B,CAI9735720.1
ARID4B,CAI9741880.1
ARID4B,CAI9741881.1
ARID4B,CAI9741882.1
ARID4B,CAI9741883.1
ARID4B,CAI9741884.1
ASH2L,CAI9715737.1
ASH2L,CAI9715753.1
ASH2L,CAI9715754.1
ASH2L,CAI9715900.1
ASH2L,CAI9719950.1
ASH2L,CAI9721225.1
ASH2L,CAI9721226.1
ASH2L,CAI9722777.1
ASH2L,CAI9724450.1
ASH2L,CAI9724451.1
ASH2L,CAI9729939.1
ASH2L,CAI9730127.1
ASH2L,CAI9730128.1
ASH2L,CAI9730129.1
ASH2L,CAI9731342.1
ASH2L,CAI9733609.1
ASH2L,CAI9736983.1
ASH2L,CAI9736984.1
ASH2L,CAI9738338.1
ASH2L,CAI9738339.1
ATXN7,CAI9724384.1
ATXN7,CAI9724385.1
BRE,CAI9729682.1
BRPF3,CAI9715056.1
BRPF3,CAI9715504.1
BRPF3,CAI9717083.1
BRPF3,CAI9717084.1
BRPF3,CAI9717085.1
BRPF3,CAI9717086.1
BRPF3,CAI9717820.1
BRPF3,CAI9717821.1
